Player,Team,AVG,GP-GS,GP,GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"M. Ham, HU ",HU ,0.418,52-52 ,52,52 ,177,39,74,1,2,0,11,79,0.446,15,2,17,0,0.467,1,3,37-41 
"J. Cabana, HU ",HU ,0.38,52-52 ,52,52 ,150,36,57,6,4,7,46,92,0.613,14,10,12,0,0.453,5,5,14-19 
"J. Hook, SWOSU ",SWOSU ,0.38,49-49 ,49,49 ,158,27,60,7,0,1,16,70,0.443,17,0,10,1,0.435,2,0,3-4 
"Max, OKB ",OKB ,0.37,55-55 ,55,55 ,146,29,54,13,0,8,42,91,0.623,31,1,5,1,0.478,2,0,6-7 
"E. Green, SNU ",SNU ,0.364,54-53 ,54,53 ,140,38,51,5,5,0,18,66,0.471,7,2,9,0,0.4,1,7,17-17 
"Reese, OKB ",OKB ,0.363,53-52 ,53,52 ,146,37,53,16,0,4,30,81,0.555,17,2,12,0,0.429,3,13,10-11 
"H. Evans, SNU ",SNU ,0.363,56-56 ,56,56 ,182,26,66,16,0,9,57,109,0.599,15,2,21,2,0.415,1,1,1-1 
"R. Dillon, SAU ",SAU ,0.359,53-53 ,53,53 ,167,33,60,15,1,13,49,116,0.695,34,2,25,0,0.471,1,0,1-1 
"G. Ore, SOSU ",SOSU ,0.355,52-50 ,52,50 ,152,31,54,8,0,3,28,71,0.467,20,8,24,0,0.451,2,4,2-3 
"K. Fryrear, SOSU ",SOSU ,0.355,51-51 ,51,51 ,138,29,49,11,1,2,21,68,0.493,25,16,15,2,0.503,0,5,2-2 
"H. Akers, HSU ",HSU ,0.353,41-36 ,41,36 ,116,15,41,9,0,4,21,62,0.534,7,0,12,0,0.387,1,1,3-4 
"K. Morelock, SNU ",SNU ,0.351,52-51 ,52,51 ,148,41,52,2,3,0,19,60,0.405,7,1,3,0,0.382,1,7,17-19 
"R. Sherwood, NWOSU ",NWOSU ,0.348,50-48 ,50,48 ,158,32,55,11,7,4,35,92,0.582,10,1,34,0,0.386,2,0,6-7 
"K. Lee, HU ",HU ,0.347,49-47 ,49,47 ,124,17,43,2,0,0,8,45,0.363,3,0,15,0,0.362,0,4,21-22 
"H. Howell, NWOSU ",NWOSU ,0.345,50-50 ,50,50 ,148,14,51,5,0,5,27,71,0.48,21,2,14,3,0.425,3,0,3-3 
"Ariana Rolle, SAU ",SAU ,0.339,53-53 ,53,53 ,165,37,56,6,2,0,11,66,0.4,13,0,20,0,0.385,1,11,5-6 
"L. Warren, HSU ",HSU ,0.333,42-41 ,42,41 ,135,19,45,0,0,0,8,45,0.333,5,1,23,0,0.359,1,2,30-34 
"E. Williams, OUA ",OUA ,0.331,52-50 ,52,50 ,154,22,51,9,5,10,32,100,0.649,13,1,30,1,0.382,2,2,4-6 
"K. Mullendor, SNU ",SNU ,0.331,54-51 ,54,51 ,151,27,50,12,0,2,27,68,0.45,12,3,20,0,0.387,2,1,1-3 
"L. Heshiki, SNU ",SNU ,0.326,52-52 ,52,52 ,138,23,45,11,0,6,40,74,0.536,20,11,9,1,0.439,4,8,1-1 
"S. Harlow, SOSU ",SOSU ,0.326,52-52 ,52,52 ,181,22,59,10,0,3,31,78,0.431,7,1,14,1,0.347,4,0,2-2 
"K. Moctezuma, SAU ",SAU ,0.324,53-53 ,53,53 ,176,34,57,8,2,4,29,81,0.46,22,2,21,1,0.401,2,1,2-2 
"M. Rahon, SWOSU ",SWOSU ,0.322,48-45 ,48,45 ,149,19,48,12,0,2,22,66,0.443,11,1,13,0,0.373,0,5,2-2 
"S. Sundbye, SNU ",SNU ,0.322,55-54 ,55,54 ,143,29,46,5,1,2,24,59,0.413,9,5,9,1,0.38,1,6,9-11 
"Greene, OKB ",OKB ,0.322,55-55 ,55,55 ,171,42,55,11,4,4,22,86,0.503,25,2,35,0,0.414,0,9,22-24 
"B. Camp, UAM ",UAM ,0.32,51-51 ,51,51 ,153,25,49,8,0,1,21,60,0.392,18,5,18,0,0.409,0,4,19-21 
"A. Erichsen, UAM ",UAM ,0.32,52-51 ,52,51 ,147,43,47,4,3,0,15,57,0.388,31,1,19,0,0.439,1,3,28-31 
"Blankenship, HU ",HU ,0.316,52-52 ,52,52 ,155,25,49,8,0,6,30,75,0.484,13,0,12,0,0.363,3,6,5-6 
"L. Lester, OUA ",OUA ,0.316,51-50 ,51,50 ,152,8,48,9,0,1,18,60,0.395,10,3,17,1,0.37,0,2,1-1 
"K. Cox, UAM ",UAM ,0.315,51-51 ,51,51 ,165,28,52,10,1,4,31,76,0.461,10,0,24,0,0.346,4,4,4-4 
"Maycie Hardy, ATU ",ATU ,0.315,43-41 ,43,41 ,124,16,39,9,0,3,17,57,0.46,15,1,16,2,0.39,1,0,0-0 
"H. Nillen, SAU ",SAU ,0.312,53-53 ,53,53 ,157,20,49,9,1,5,34,75,0.478,23,2,10,4,0.398,4,1,0-0 
"Ryan, OKB ",OKB ,0.311,55-55 ,55,55 ,151,33,47,5,0,18,50,106,0.702,26,4,47,0,0.423,1,2,1-1 
"K. Rackley, SOSU ",SOSU ,0.31,52-51 ,52,51 ,116,17,36,4,0,0,8,40,0.345,13,0,24,0,0.38,0,4,3-5 
"C. Hewitt, SWOSU ",SWOSU ,0.309,49-49 ,49,49 ,123,20,38,6,2,5,21,63,0.512,21,2,29,0,0.415,1,6,7-8 
"E. Adler, OKB ",OKB ,0.306,55-55 ,55,55 ,160,39,49,8,0,0,23,57,0.356,22,7,6,0,0.411,1,11,20-22 
"K. Boline, SWOSU ",SWOSU ,0.306,49-49 ,49,49 ,147,19,45,9,4,1,21,65,0.442,16,1,18,1,0.376,1,3,4-4 
"J. Burch, HSU ",HSU ,0.305,51-49 ,51,49 ,128,18,39,4,0,0,17,43,0.336,10,6,14,0,0.377,2,7,8-10 
"M. Oaks, SNU ",SNU ,0.304,55-54 ,55,54 ,161,33,49,9,0,2,29,64,0.398,8,0,8,2,0.335,1,7,2-2 
"Shelby Chavers, ATU ",ATU ,0.302,44-42 ,44,42 ,129,22,39,7,3,0,16,52,0.403,15,4,28,0,0.392,0,3,5-9 
"E. Swearinge, SNU ",SNU ,0.301,54-53 ,54,53 ,153,23,46,12,2,6,38,80,0.523,9,3,13,0,0.345,3,2,0-0 
"M. Spearman, NWOSU ",NWOSU ,0.3,47-46 ,47,46 ,140,26,42,10,3,1,11,61,0.436,11,3,21,0,0.364,0,2,6-8 
"Watson, Jami, ECU ","Jami, ECU ",0.297,40-39 ,40,39 ,118,16,35,6,0,6,27,59,0.5,6,1,20,1,0.333,1,2,0-0 
"C. Sensibaug, UAM ",UAM ,0.295,48-41 ,48,41 ,112,27,33,8,1,4,20,55,0.491,15,0,13,0,0.369,3,1,15-18 
"G. Neal, UAM ",UAM ,0.294,51-51 ,51,51 ,153,8,45,11,0,2,31,62,0.405,13,3,20,0,0.361,0,3,0-0 
"Quintanilla, Gabi, ECU ","Gabi, ECU ",0.288,37-36 ,37,36 ,111,13,32,3,0,0,7,35,0.315,10,1,24,0,0.352,0,2,1-1 
"Sydney Keaton, ATU ",ATU ,0.288,45-44 ,45,44 ,125,16,36,8,2,2,21,54,0.432,20,5,8,0,0.407,0,1,0-0 
"S. Sands, SOSU ",SOSU ,0.286,38-36 ,38,36 ,112,16,32,6,0,1,14,41,0.366,6,1,9,1,0.322,2,0,2-2 
"E. Curry, HU ",HU ,0.285,51-50 ,51,50 ,144,28,41,5,2,9,37,77,0.535,23,3,20,0,0.392,1,2,9-10 
"M. Hoskins, HSU ",HSU ,0.283,42-29 ,42,29 ,99,18,28,4,0,4,20,44,0.444,8,3,19,0,0.345,3,1,2-2 
"LeClair, Elyse, ECU ","Elyse, ECU ",0.282,48-48 ,48,48 ,170,23,48,7,0,1,12,58,0.341,9,2,9,0,0.326,0,3,1-1 
"Clark, OKB ",OKB ,0.282,47-45 ,47,45 ,117,7,33,6,0,0,20,39,0.333,7,6,10,2,0.348,2,2,1-1 
"M. Caro, HU ",HU ,0.276,52-52 ,52,52 ,127,43,35,6,2,1,21,48,0.378,29,14,25,0,0.459,0,12,34-35 
"L. Smith, UAM ",UAM ,0.273,48-48 ,48,48 ,139,10,38,7,0,0,21,45,0.324,11,3,11,0,0.335,2,2,0-0 
"M. Franks, SNU ",SNU ,0.272,50-49 ,50,49 ,114,19,31,3,0,1,13,37,0.325,21,5,16,0,0.404,1,6,0-0 
"G. King, SAU ",SAU ,0.266,53-53 ,53,53 ,154,22,41,12,2,4,23,69,0.448,17,10,36,2,0.366,5,0,1-2 
"Lesko, Megan, ECU ","Megan, ECU ",0.266,48-48 ,48,48 ,139,22,37,8,0,6,22,63,0.453,11,5,24,1,0.342,0,8,2-3 
"S. Dutton, SOSU ",SOSU ,0.265,50-49 ,50,49 ,113,19,30,4,1,0,13,36,0.319,8,2,23,0,0.325,0,0,6-7 
"Adair, Cheyenne, ECU ","Cheyenne, ECU ",0.265,46-37 ,46,37 ,98,14,26,2,0,1,8,31,0.316,4,2,10,0,0.305,1,7,0-0 
"Muncy, Caton, ECU ","Caton, ECU ",0.264,48-48 ,48,48 ,129,16,34,9,0,2,17,49,0.38,23,2,21,2,0.381,1,3,0-0 
"B. Beard, SOSU ",SOSU ,0.261,49-48 ,49,48 ,115,22,30,2,3,2,11,44,0.383,11,2,18,0,0.336,0,2,11-11 
"J. Alvarez, HSU ",HSU ,0.259,46-41 ,46,41 ,135,16,35,6,0,1,15,44,0.326,16,1,14,0,0.342,0,3,8-12 
"R. Adams, OUA ",OUA ,0.256,52-51 ,52,51 ,160,17,41,12,1,2,28,61,0.381,4,3,17,1,0.286,1,1,3-5 
"Savannah Snow, ATU ",ATU ,0.254,42-41 ,42,41 ,118,8,30,6,0,2,14,42,0.356,9,0,18,0,0.307,0,4,0-0 
"B. King, OUA ",OUA ,0.253,50-49 ,50,49 ,146,27,37,6,1,0,6,45,0.308,18,4,24,1,0.349,1,1,10-13 
"D. Carmo, SWOSU ",SWOSU ,0.252,47-47 ,47,47 ,135,10,34,7,1,1,14,46,0.341,9,1,17,2,0.303,0,7,1-1 
"Jenna Huey, SAU ",SAU ,0.252,51-51 ,51,51 ,151,18,38,7,0,7,35,66,0.437,19,6,19,2,0.358,0,1,0-0 
"Adrianna Cooney, ATU ",ATU ,0.25,34-32 ,34,32 ,92,8,23,6,0,0,11,29,0.315,4,1,20,1,0.289,0,2,2-2 
"R. Rivera, NWOSU ",NWOSU ,0.246,49-48 ,49,48 ,118,21,29,3,0,5,21,47,0.398,23,10,18,0,0.411,0,7,1-1 
"Lexi Gorniak, ATU ",ATU ,0.238,35-30 ,35,30 ,84,13,20,4,0,1,18,27,0.321,8,2,15,1,0.319,0,10,6-6 
"A. Clark, NWOSU ",NWOSU ,0.237,47-47 ,47,47 ,135,18,32,3,0,2,10,41,0.304,16,1,27,0,0.322,0,4,2-4 
"L. Anderson, NWOSU ",NWOSU ,0.232,44-43 ,44,43 ,125,11,29,5,0,0,11,34,0.272,6,2,20,1,0.272,3,2,0-0 
"S McPhillips, SWOSU ",SWOSU ,0.231,47-47 ,47,47 ,134,16,31,4,1,0,13,37,0.276,7,0,16,3,0.27,0,2,2-3 
"T. Winters, NWOSU ",NWOSU ,0.23,49-48 ,49,48 ,126,16,29,5,1,2,19,42,0.333,16,0,30,0,0.313,2,2,4-6 
"B. Johnson, HSU ",HSU ,0.229,39-38 ,39,38 ,109,15,25,2,1,2,13,35,0.321,14,0,12,0,0.317,0,0,0-1 
"Bella Angelo, SAU ",SAU ,0.229,53-52 ,53,52 ,131,22,30,4,0,3,17,43,0.328,26,3,29,1,0.369,0,8,2-3 
"R. Fajardo, SWOSU ",SWOSU ,0.228,38-37 ,38,37 ,101,16,23,7,0,2,11,36,0.356,2,1,28,0,0.25,0,2,0-0 
"S. Adler, OKB ",OKB ,0.225,50-43 ,50,43 ,102,19,23,2,0,0,10,25,0.245,10,3,15,0,0.308,2,4,7-11 
"Acosta, Zoe, ECU ","Zoe, ECU ",0.221,41-34 ,41,34 ,104,11,23,1,0,1,13,27,0.26,6,2,16,0,0.274,1,2,1-1 
"Cassidy Lear, SAU ",SAU ,0.221,41-38 ,41,38 ,104,14,23,1,1,1,7,29,0.279,9,3,28,0,0.299,1,2,0-1 
"K. Provence, OUA ",OUA ,0.216,51-48 ,51,48 ,125,21,27,3,0,0,10,30,0.24,27,0,46,0,0.355,0,4,7-10 
"Goodman, Josi, ECU ","Josi, ECU ",0.213,47-46 ,47,46 ,94,10,20,2,1,0,6,24,0.255,6,14,33,0,0.351,0,0,2-3 
"T. Nunn, HU ",HU ,0.196,52-52 ,52,52 ,102,13,20,3,0,0,12,23,0.225,8,2,11,2,0.265,1,13,9-10 
"K. McMahan, HSU ",HSU ,0.192,36-27 ,36,27 ,99,14,19,1,0,2,7,26,0.263,4,1,10,0,0.231,0,0,4-4 
"J. Wadley, SWOSU ",SWOSU ,0.182,38-32 ,38,32 ,99,9,18,2,0,0,9,20,0.202,11,0,18,1,0.261,1,1,0-0 
"S. Wood, UAM ",UAM ,0.172,51-47 ,51,47 ,122,11,21,2,0,3,15,32,0.262,13,4,30,0,0.271,1,0,2-2 
"A. Baldenegr, NWOSU ",NWOSU ,1,4-2 ,4,2 ,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0-0 
"Mauppin, LIndsey, ECU ","LIndsey, ECU ",1,2-0 ,2,0 ,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0-0 
"A. Burch, HU ",HU ,0.5,5-3 ,5,3 ,2,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0-0 
"Sensibaugh, UAM ",UAM ,0.5,1-1 ,1,1 ,2,1,1,0,0,1,1,4,2,1,0,0,0,0.667,0,0,1-1 
"M. Warden, SNU ",SNU ,0.455,25-1 ,25,1 ,11,9,5,1,0,0,3,6,0.545,2,0,4,0,0.538,0,0,0-0 
"M. Jackson, HSU ",HSU ,0.396,18-18 ,18,18 ,53,17,21,7,0,5,16,43,0.811,7,5,13,0,0.508,0,0,2-2 
"Warden, OKB ",OKB ,0.339,45-17 ,45,17 ,59,15,20,2,0,1,9,25,0.424,11,1,11,0,0.444,1,1,3-4 
"J. Copeland, HSU ",HSU ,0.333,36-32 ,36,32 ,90,8,30,3,2,0,7,37,0.411,5,1,7,2,0.375,0,2,0-0 
"B. Usrey, HSU ",HSU ,0.333,5-4 ,5,4 ,6,0,2,0,0,0,0,2,0.333,1,1,0,0,0.5,0,1,0-0 
"Anna Winkfield, ATU ",ATU ,0.333,24-0 ,24,0 ,3,7,1,0,0,0,0,1,0.333,0,0,1,0,0.333,0,0,0-0 
"M. Keeton, HSU ",HSU ,0.333,2-1 ,2,1 ,3,0,1,0,0,0,0,1,0.333,0,0,2,0,0.333,0,0,0-0 
"K. Fox, HU ",HU ,0.333,3-0 ,3,0 ,3,0,1,0,1,0,1,3,1,0,0,1,0,0.333,0,0,0-0 
"H. Feinstein, SNU ",SNU ,0.333,3-0 ,3,0 ,3,0,1,0,0,0,1,1,0.333,0,0,1,0,0.333,0,0,0-0 
"A. Larson, SNU ",SNU ,0.333,5-1 ,5,1 ,3,1,1,0,0,1,2,4,1.333,1,0,2,0,0.5,0,0,0-0 
"M. Williams, HSU ",HSU ,0.328,29-23 ,29,23 ,61,11,20,3,0,0,7,23,0.377,13,0,12,0,0.446,0,4,1-2 
"Hadley, Rikki, ECU ","Rikki, ECU ",0.316,30-28 ,30,28 ,79,5,25,5,1,1,14,35,0.443,4,0,13,0,0.341,2,2,0-2 
"A. Rubio, SAU ",SAU ,0.316,13-13 ,13,13 ,38,8,12,5,0,2,9,23,0.605,8,1,7,0,0.447,0,0,1-1 
"R. Taylor, SOSU ",SOSU ,0.311,32-30 ,32,30 ,90,14,28,4,0,2,12,38,0.422,8,1,17,0,0.374,0,1,1-1 
"M. Miller, UAM ",UAM ,0.31,22-6 ,22,6 ,29,1,9,2,0,0,10,11,0.379,6,0,11,0,0.417,1,0,0-0 
"B. Johnson, HU ",HU ,0.31,26-5 ,26,5 ,29,6,9,3,0,0,3,12,0.414,4,0,7,0,0.394,0,1,1-1 
"I. McMurray, SOSU ",SOSU ,0.308,14-14 ,14,14 ,39,10,12,1,0,5,11,28,0.718,4,0,3,0,0.372,0,2,2-2 
"B. Gentry, SWOSU ",SWOSU ,0.3,15-12 ,15,12 ,40,6,12,3,0,2,6,21,0.525,1,0,6,1,0.317,0,0,0-0 
"Mar.Huddlest, OUA ",OUA ,0.3,26-9 ,26,9 ,40,0,12,2,0,0,3,14,0.35,1,1,9,0,0.326,1,1,0-1 
"A. Garrison, SOSU ",SOSU ,0.297,30-25 ,30,25 ,74,7,22,2,0,2,12,30,0.405,10,1,12,0,0.384,1,1,2-2 
"A. Gonzalez, NWOSU ",NWOSU ,0.294,19-7 ,19,7 ,34,1,10,3,0,0,6,13,0.382,2,0,9,0,0.333,0,0,0-0 
"E. Bittinger, HSU ",HSU ,0.289,37-20 ,37,20 ,76,7,22,3,0,3,17,34,0.447,7,2,6,0,0.36,1,4,0-1 
"R. Price, HU ",HU ,0.289,28-25 ,28,25 ,83,13,24,5,1,2,12,37,0.446,3,0,5,2,0.314,0,3,1-1 
"R. Lusk, SWOSU ",SWOSU ,0.288,22-20 ,22,20 ,52,7,15,4,0,0,4,19,0.365,10,1,15,0,0.413,0,0,2-2 
"McAlexander, SAU ",SAU ,0.288,24-21 ,24,21 ,59,10,17,2,1,0,9,21,0.356,4,1,17,0,0.344,0,2,1-1 
"J. De Hart, HSU ",HSU ,0.286,36-35 ,36,35 ,77,12,22,3,0,2,13,31,0.403,11,1,13,1,0.382,0,1,1-1 
"C. Sarver, SOSU ",SOSU ,0.286,27-22 ,27,22 ,63,7,18,5,0,1,11,26,0.413,3,0,12,0,0.318,0,2,1-1 
"A. Haessly, SNU ",SNU ,0.286,17-4 ,17,4 ,14,2,4,2,0,0,3,6,0.429,0,0,2,1,0.286,0,3,1-1 
"Stott, Jaciee, ECU ","Jaciee, ECU ",0.286,32-4 ,32,4 ,14,9,4,0,0,0,2,4,0.286,2,0,4,0,0.375,0,0,2-3 
"K. Corn, NWOSU ",NWOSU ,0.28,10-7 ,10,7 ,25,2,7,1,1,0,3,10,0.4,1,0,3,1,0.296,1,0,0-0 
"E. Simmons, SOSU ",SOSU ,0.278,30-23 ,30,23 ,79,13,22,4,0,6,20,44,0.557,13,0,11,0,0.376,1,0,0-0 
