Rank,Name,DOB,Date of Death,Age in Years,Days,Nationality,Age in Decimal as of 3/14/21,Living or Deceased
1,Jeanne Calment[7] ,21 February 1875 ,4 August 1997 ,122 years, 164 days[b] ,France ,122.449315068493,Deceased
2,Sarah Knauss[8] ,24 September 1880 ,30 December 1999 ,119 years, 97 days ,United States ,119.265753424658,Deceased
3,Kane Tanaka[6] ,2 January 1903 ,Living ,118 years, 71 days ,Japan ,118.194520547945,Living
4,Nabi Tajima[6] ,4 August 1900 ,21 April 2018 ,117 years, 260 days ,Japan ,117.712328767123,Deceased
5,Marie-Louise Meilleur[9] ,29 August 1880 ,16 April 1998 ,117 years, 230 days ,Canada ,117.630136986301,Deceased
6,Violet Brown[6] ,10 March 1900 ,15 September 2017 ,117 years, 189 days ,Jamaica ,117.517808219178,Deceased
7,Emma Morano[6][10] ,29 November 1899 ,15 April 2017 ,117 years, 137 days ,Italy ,117.375342465753,Deceased
8,Chiyo Miyako[6][11][12] ,2 May 1901 ,22 July 2018 ,117 years, 81 days ,Japan ,117.221917808219,Deceased
9,Lucile Randon (Sœur André)[6] ,11 February 1904 ,Living ,117 years, 31 days ,France ,117.084931506849,Living
10,Misao Okawa[6] ,5 March 1898 ,1 April 2015 ,117 years, 27 days ,Japan ,117.07397260274,Deceased
11,María Capovilla[14] ,14 September 1889 ,27 August 2006 ,116 years, 347 days ,Ecuador ,116.950684931507,Deceased
12,Susannah Mushatt Jones[6] ,6 July 1899 ,12 May 2016 ,116 years, 311 days ,United States ,116.852054794521,Deceased
13,Gertrude Weaver[6] ,4 July 1898 ,6 April 2015 ,116 years, 276 days ,United States ,116.756164383562,Deceased
14,Tane Ikai[15] ,18 January 1879 ,12 July 1995 ,116 years, 175 days ,Japan ,116.479452054795,Deceased
15,Francisca Celsa dos Santos[6] ,21 October 1904 ,Living ,116 years, 144 days ,Brazil ,116.394520547945,Living
16,Elizabeth Bolden[16] ,15 August 1890 ,11 December 2006 ,116 years, 118 days ,United States ,116.323287671233,Deceased
17,Besse Cooper[17] ,26 August 1896 ,4 December 2012 ,116 years, 100 days ,United States ,116.27397260274,Deceased
18,Maria Giuseppa Robucci[6] ,20 March 1903 ,18 June 2019[18] ,116 years, 90 days ,Italy ,116.246575342466,Deceased
19,Jeanne Bot[6] ,14 January 1905 ,Living[19] ,116 years, 59 days ,France ,116.161643835616,Living
20,Ana María Vela Rubio[6] ,29 October 1901 ,15 December 2017 ,116 years, 47 days ,Spain ,116.128767123288,Deceased
21,Giuseppina Projetto[6] ,30 May 1902 ,6 July 2018 ,116 years, 37 days ,Italy ,116.101369863014,Deceased
22,Jeralean Talley[6] ,23 May 1899 ,17 June 2015 ,116 years, 25 days ,United States ,116.068493150685,Deceased
23,Shigeyo Nakachi[6] ,1 February 1905 ,11 January 2021 ,115 years, 345 days ,Japan ,115.945205479452,Deceased
24,Maggie Barnes[20] ,6 March 1882 ,19 January 1998 ,115 years, 319 days ,United States ,115.87397260274,Deceased
25,Antonia da Santa Cruz[6] ,13 June 1905 ,Living ,115 years, 274 days ,Brazil ,115.750684931507,Living
26,Dina Manfredini[5] ,4 April 1897 ,17 December 2012 ,115 years, 257 days ,United States[c] ,115.704109589041,Deceased
27,Shimoe Akiyama[6] ,19 May 1903 ,29 January 2019 ,115 years, 255 days ,Japan ,115.698630136986,Deceased
28,Charlotte Hughes[21] ,1 August 1877 ,17 March 1993 ,115 years, 228 days ,United Kingdom ,115.624657534247,Deceased
29,Edna Parker[22] ,20 April 1893 ,26 November 2008 ,115 years, 220 days ,United States ,115.602739726027,Deceased
30,Hester Ford[6] ,15 August 1905 ,Living ,115 years, 211 days ,United States ,115.578082191781,Living
31,Mary Ann Rhodes[23] ,12 August 1882 ,3 March 1998 ,115 years, 203 days ,Canada ,115.556164383562,Deceased
32,Anonymous of Tokyo[6] ,15 March 1900 ,27 September 2015 ,115 years, 196 days ,Japan ,115.53698630137,Deceased
33,Margaret Skeete[24] ,27 October 1878 ,7 May 1994 ,115 years, 192 days ,United States ,115.52602739726,Deceased
34,Bernice Madigan[25] ,24 July 1899 ,3 January 2015 ,115 years, 163 days ,United States ,115.446575342466,Deceased
35,Gertrude Baines[26] ,6 April 1894 ,11 September 2009 ,115 years, 158 days ,United States ,115.432876712329,Deceased
36,Bettie Wilson[27] ,13 September 1890 ,13 February 2006 ,115 years, 153 days ,United States ,115.419178082192,Deceased
37,Shin Matsushita[6] ,30 March 1904 ,27 August 2019 ,115 years, 150 days ,Japan ,115.41095890411,Deceased
38,Iris Westman[6] ,28 August 1905 ,3 January 2021[28] ,115 years, 128 days ,United States ,115.350684931507,Deceased
39,Julie Winnefred Bertrand[29] ,16 September 1891 ,18 January 2007 ,115 years, 124 days ,Canada ,115.339726027397,Deceased
40,Maria de Jesus[30] ,10 September 1893 ,2 January 2009 ,115 years, 114 days ,Portugal ,115.312328767123,Deceased
41,Marie Josephine Gaudette[6][31] ,25 March 1902 ,13 July 2017 ,115 years, 110 days ,Italy[d] ,115.301369863014,Deceased
42,Susie Gibson[32] ,31 October 1890 ,16 February 2006 ,115 years, 108 days ,United States ,115.295890410959,Deceased
43,Augusta Holtz[33] ,3 August 1871 ,21 October 1986 ,115 years, 79 days ,United States[e] ,115.216438356164,Deceased
44,Hendrikje van Andel-Schipper[34] ,29 June 1890 ,30 August 2005 ,115 years, 62 days ,Netherlands ,115.169863013699,Deceased
45,Maude Farris-Luse[35] ,21 January 1887 ,18 March 2002 ,115 years, 56 days ,United States ,115.153424657534,Deceased
46,Mina Kitagawa[6] ,3 November 1905 ,19 December 2020 ,115 years, 46 days ,Japan ,115.12602739726,Deceased
47,Marie Brémont[36] ,25 April 1886 ,6 June 2001 ,115 years, 42 days ,France ,115.115068493151,Deceased
48,Koto Okubo[37] ,24 December 1897 ,12 January 2013 ,115 years, 19 days ,Japan ,115.052054794521,Deceased
49,Antonia Gerena Rivera[6] ,19 May 1900 ,2 June 2015 ,115 years, 14 days ,United States[f] ,115.038356164384,Deceased
50,Chiyono Hasegawa[38] ,20 November 1896 ,2 December 2011 ,115 years, 12 days ,Japan ,115.032876712329,Deceased
51,Annie Jennings[39] ,12 November 1884 ,20 November 1999 ,115 years, 8 days ,United Kingdom ,115.021917808219,Deceased
52,Eva Morris[40] ,8 November 1885 ,2 November 2000 ,114 years, 360 days ,United Kingdom ,114.986301369863,Deceased
53,Kama Chinen[41] ,10 May 1895 ,2 May 2010 ,114 years, 357 days ,Japan ,114.978082191781,Deceased
54,Maria Gomes Valentim[42] ,9 July 1896 ,21 June 2011 ,114 years, 347 days ,Brazil ,114.950684931507,Deceased
55,Mary Bidwell[43] ,19 May 1881 ,25 April 1996 ,114 years, 342 days ,United States ,114.93698630137,Deceased
56,Mary Josephine Ray[44] ,17 May 1895 ,7 March 2010 ,114 years, 294 days ,United States[g] ,114.805479452055,Deceased
57,Goldie Steinberg[6][45][46] ,30 October 1900 ,16 August 2015 ,114 years, 290 days ,United States[h] ,114.794520547945,Deceased
58,Tekla Juniewicz[6] ,10 June 1906 ,Living ,114 years, 277 days ,Poland[i] ,114.758904109589,Living
59,Kiyoko Ishiguro[6] ,4 March 1901 ,5 December 2015 ,114 years, 276 days ,Japan ,114.756164383562,Deceased
60,Maria do Couto Maia-Lopes[5] ,24 October 1890 ,25 July 2005 ,114 years, 274 days ,Portugal ,114.750684931507,Deceased
,Eudoxie Baboul[6] ,1 October 1901 ,1 July 2016 ,114 years, 274 days ,France (French Guiana) ,114.750684931507,Deceased
62,Ramona Trinidad Iglesias-Jordan[47] ,31 August 1889 ,29 May 2004 ,114 years, 272 days ,Puerto Rico ,114.745205479452,Deceased
63,Yukie Hino[6] ,17 April 1902 ,13 January 2017 ,114 years, 271 days ,Japan ,114.742465753425,Deceased
64,Delphine Gibson[6] ,17 August 1903 ,9 May 2018 ,114 years, 265 days ,United States ,114.72602739726,Deceased
65,Eugénie Blanchard[48] ,16 February 1896 ,4 November 2010 ,114 years, 261 days ,France (Saint Barthélemy) ,114.715068493151,Deceased
66,Venere Pizzinato-Papo[49] ,23 November 1896 ,2 August 2011 ,114 years, 252 days ,Italy[j] ,114.690410958904,Deceased
67,Neva Morris[50] ,3 August 1895 ,6 April 2010 ,114 years, 246 days ,United States ,114.67397260274,Deceased
68,Hide Ohira[5] ,15 September 1880 ,9 May 1995 ,114 years, 236 days ,Japan ,114.646575342466,Deceased
69,Blanche Cobb[51][52] ,8 September 1900 ,1 May 2015 ,114 years, 235 days ,United States ,114.643835616438,Deceased
70,Ethel Lang[6] ,27 May 1900 ,15 January 2015 ,114 years, 233 days ,United Kingdom ,114.638356164384,Deceased
71,Yone Minagawa[53] ,4 January 1893 ,13 August 2007 ,114 years, 221 days ,Japan ,114.605479452055,Deceased
72,María Antonia Castro[54] ,10 June 1881 ,16 January 1996 ,114 years, 220 days ,Spain ,114.602739726027,Deceased
73,Carrie Lazenby[5] ,9 February 1882 ,14 September 1996 ,114 years, 218 days ,United States ,114.597260273973,Deceased
,Ura Koyama[55] ,30 August 1890 ,5 April 2005 ,114 years, 218 days ,Japan ,114.597260273973,Deceased
75,Myrtle Dorsey[56] ,22 November 1885 ,25 June 2000 ,114 years, 216 days ,United States ,114.591780821918,Deceased
76,Iso Nakamura[6] ,23 April 1903 ,23 November 2017 ,114 years, 214 days ,Japan ,114.586301369863,Deceased
77,Faustina Sarmiento-Pupo[6] ,15 February 1905 ,16 September 2019 ,114 years, 213 days ,Cuba ,114.583561643836,Deceased
78,Anna Eliza Williams[57] ,2 June 1873 ,27 December 1987 ,114 years, 208 days ,United Kingdom ,114.569863013699,Deceased
79,Eunice Sanborn[58] ,20 July 1896 ,31 January 2011 ,114 years, 195 days ,United States ,114.534246575342,Deceased
80,Grace Clawson[59] ,15 November 1887 ,28 May 2002 ,114 years, 194 days ,United States[k] ,114.531506849315,Deceased
81,Mitsue Toyoda[6] ,15 February 1902 ,25 August 2016 ,114 years, 192 days ,Japan ,114.52602739726,Deceased
82,Tase Matsunaga[60] ,11 May 1884 ,18 November 1998 ,114 years, 191 days ,Japan ,114.523287671233,Deceased
,Kame Ganeko[6][61] ,10 April 1905 ,18 October 2019 ,114 years, 191 days ,Japan ,114.523287671233,Deceased
84,Kame Nakamura[62] ,8 March 1898 ,12 September 2012 ,114 years, 188 days ,Japan ,114.515068493151,Deceased
85,Lydie Vellard[5] ,18 March 1875 ,17 September 1989 ,114 years, 183 days ,France ,114.501369863014,Deceased
,Wilhelmina Kott[63] ,7 March 1880 ,6 September 1994 ,114 years, 183 days ,United States ,114.501369863014,Deceased
,Adelina Domingues[64] ,19 February 1888 ,21 August 2002 ,114 years, 183 days ,United States[l] ,114.501369863014,Deceased
88,Mitoyo Kawate[65] ,15 May 1889 ,13 November 2003 ,114 years, 182 days ,Japan ,114.498630136986,Deceased
,Gabrielle des Robert[6][66] ,4 June 1904 ,3 December 2018 ,114 years, 182 days ,France ,114.498630136986,Deceased
90,Charlotte Benkner[67] ,16 November 1889 ,14 May 2004 ,114 years, 180 days ,United States[m] ,114.493150684932,Deceased
,Camille Loiseau[68] ,13 February 1892 ,12 August 2006 ,114 years, 180 days ,France ,114.493150684932,Deceased
92,Anne Primout[69] ,5 October 1890 ,26 March 2005 ,114 years, 172 days ,France[n] ,114.471232876712,Deceased
93,Ettie Mae Greene[70] ,8 September 1877 ,26 February 1992 ,114 years, 171 days ,United States ,114.468493150685,Deceased
94,Thelma Sutcliffe[6] ,1 October 1906 ,Living ,114 years, 164 days ,United States ,114.449315068493,Living
95,Geertje Kuijntjes[6] ,19 July 1905 ,24 December 2019 ,114 years, 158 days ,Netherlands ,114.432876712329,Deceased
96,Dominga Velasco[6] ,12 May 1901 ,11 October 2015 ,114 years, 152 days ,United States[o] ,114.416438356164,Deceased
97,Toshie Yorimitsu[6] ,30 September 1901 ,28 February 2016 ,114 years, 151 days ,Japan ,114.413698630137,Deceased
98,Irene Frank[5] ,1 October 1881 ,28 February 1996 ,114 years, 150 days ,United States ,114.41095890411,Deceased
99,Christina Cock[71] ,25 December 1887 ,22 May 2002 ,114 years, 148 days ,Australia[p] ,114.405479452055,Deceased
100,Valentine Ligny[6] ,22 October 1906 ,Living ,114 years, 143 days ,France ,114.391780821918,Living
