Name,Born,Died,Age,Profession,Drug(s),Manner,Notes
Louis Abolafia,1941,1995,54,Artist,Unspecified,Unknown,
Herb Abrams,1954,1996,42,Wrestling promoter,Cocaine,Accidental,Drug-induced heart attack
Janet Achurch,1864,1916,52,Actress,Morphine,Unknown,
Trent Acid,1980,2010,29,Wrestler,Unspecified,Unknown,
Arthur Adamov,1908,1970,61,Playwright,Barbiturates,Accidental,
Brian Adams,1963,2007,43,Wrestler,Unspecified painkillers,Accidental,
Nick Adams,1931,1968,36,Actor,Paraldehyde and promazine,Unknown,
Ai Xia,1912,1934,21,Actress,Opium,Suicide,
Ry?nosuke Akutagawa,1892,1927,35,Writer,Barbital,Suicide,
Lexii Alijai,1998,2020,21,Rapper,Fentanyl and ethanol,Unknown,
Howard Alk,1930,1982,51,Filmmaker,Heroin,Accidental,Officially accidental though speculated suicide
A. A. Allen,1911,1970,59,Evangelist,Alcohol,Unknown,
Chet Allen,1939,1984,45,Child actor,Antidepressants,Suicide,
William Barnsley Allen,1892,1933,41,Army officer,Unspecified narcotic,Accidental,
GG Allin,1956,1993,36,Musician,Heroin,Unknown,
Frances Alsop,1782,1821,38,Actress,Laudanum,Accidental,
Abraham Ángel,1905,1924,19,Artist,Cocaine,Accidental,
Pier Angeli,1932,1971,39,Actress,Barbiturates,Accidental,
Bridgette Andersen,1975,1997,21,Child actress,Heroin,Unknown,
Paul Y. Anderson,1893,1938,45,Journalist,Sleeping pills,Unknown,
Chris Antley,1966,2000,34,Jockey,Methamphetamines,Blunt trauma,The coroner's report concluded that Antley's injuries were likely related to a fall caused by the overdose
Jean Améry,1912,1978,65,Writer,Sleeping pills,Suicide,
Diane Arbus,1923,1971,48,Photographer,Barbiturates,Suicide,Arbus also slit her wrists
Reinaldo Arenas,1943,1990,47,Poet,Unspecified,Suicide,
West Arkeen,1960,1997,36,Musician,Opiates,Accidental,
Howard Arkley,1951,1999,48,Painter,Heroin,Accidental,
James Lloyd Ashbury,1834,1895,60–61,Yachtsman,Chlorodyne,Suicide,Suspected overdose
Avery Atkins,1987,2007,20,American football player,MDMA,Unknown,
Kevyn Aucoin,1962,2002,40,'Photographer, make-up artist',Unspecified painkillers,Accidental,"Aucoin's addiction to painkillers, which were prescribed, caused kidney and liver failure due to paracetamol toxicity"
Kathy Augustine,1956,2006,50,Politician,Succinylcholine,Murder,
Chet Baker,1929,1988,58,Musician,Cocaine and heroin,Accidental,Baker fell from a balcony while intoxicated
Tom Baker,1940,1982,42,Actor,Heroin,Unknown,
Albert Ballin,1857,1918,61,Shipping magnate,Sleeping pills,Suicide,
Lester Bangs,1948,1982,33,"Music critic, musician",Multiple,Unknown,"Dextropropoxyphene, diazepam and NyQuil"
Barbette,1899,1973,74,Trapeze artist,Methamphetamines,Unknown,
R. H. Barlow,1918,1951,32,Author,Barbiturates,Suicide,
Sid Barnes,1916,1973,57,Cricketer,Barbiturates and bromide,Undetermined,
Jürgen Bartsch,1946,1976,29,Serial killer,Halothane,Accidental,Accidental overdose administered by nurse
Skye McCole Bartusiak,1992,2014,21,Actress,Multiple,Accidental,"Hydrocodone, difluoroethane and carisoprodol"
Jean-Michel Basquiat,1960,1988,27,Painter,Heroin,Unknown,
Pierre Batcheff,1907,1932,24,Actor,Barbital,Suicide,
Michael Carl Baze,1987,2011,24,Jockey,Cocaine and oxymorphone,Accidental,
Patricia Beck,1924,1978,53,Writer,Insulin,Suicide,
Scotty Beckett,1929,1968,38,Child actor,Barbiturates,Unknown,
Steve Bechler,1979,2003,23,Baseball pitcher,Ephedra,Heatstroke,The coroner stated the toxicity of ephedra played a significant role in his death
Art Bell,1945,2018,72,Radio host,Prescription opioids,Accidental,"Bell's death was a combination of opioid overdose with Valium and muscle relaxants, complicated by chronic obstructive pulmonary disease and high blood pressure"
Gertrude Bell,1868,1926,57,Writer,Sleeping pills,Unknown,
John Belushi,1949,1982,33,Actor,Speedball,Accidental,
Walter Benjamin,1892,1940,48,Philosopher,Morphine,Suicide,
Jay Bennett,1963,2009,45,Musician,Fentanyl,Accidental,
Jill Bennet,1931,1990,58,Actress,Unspecified,Unknown,
Wes Berggren,1971,1999,28,Musician,Multiple,Unknown,"Benzodiazepines, cocaine and propoxyphene"
William Lee Bergstrom,1951,1985,33,Gambler,Unspecified,Suicide,
Bruce Berry,1950,1973,22,Roadie,Cocaine and heroin,Unknown,
Don Bessent,1931,1990,59,Baseball pitcher,Alcohol,Unknown,
Leah Betts,1977,1995,18,Student,MDMA,Water intoxication,Died from water intoxication secondary to use of MDMA
Len Bias,1963,1986,22,Basketball player,Cocaine,Accidental,
Big George,1957,2011,53,"Presenter, broadcaster",Mephedrone,Unknown,Drug-induced heart attack.
Big Moe,1974,2007,33,Musician,Unspecified,Unknown,Drug-induced heart attack
Bam Bam Bigelow,1961,2007,45,Wrestler,Cocaine,Unknown,Other unspecified drugs were involved
Robert Bingham,1966,1999,33,Writer,Heroin,Unknown,
Ted Binion,1943,1998,54,Gambling executive,Alprazolam and heroin,Suicide (suspected),
Laurie Bird,1953,1979,26,Actress,Diazepam,Suicide,
Gottfried von Bismarck,1962,2007,44,Aristocrat,Cocaine and morphine,Unknown,
Patrick Bissell,1957,1987,30,Ballet dancer,Multiple,Unknown,"Cocaine, codeine, methadone and other unspecified drugs"
Clara Blandick,1880,1962,85,Actress,Sleeping pills,Suicide,Drug-induced asphyxiation
Erica Blasberg,1984,2010,25,Golfer,Multiple,Suicide,"Drug-induced asphyxiation caused by butalbital, temazepam, alprazolam, codeine, hydrocodone and tramadol"
Mattie Blaylock,1850,1888,37–38,Prostitute,Opiates,Suicide,
Mike Bloomfield,1943,1981,37,Musician,Unspecified,Unknown,
Tommy Bolin,1951,1976,25,Musician,Unspecified,Unknown,
John Bonham,1948,1980,32,Musician,Alcohol,Unknown,Bonham choked on his own vomit while intoxicated
Derek Boogaard,1982,2011,28,Ice hockey player,Oxycodone and alcohol,Accidental,
Jennie Bosschieter,1882,1900,18,Factory worker,Chloral hydrate,Murder,
Christopher Bowman,1967,2008,40,Ice skater,Multiple,Accidental,"Cocaine, diazepam, alcohol and cannabis"
Charles Boyer,1899,1978,78,Actor,Barbiturates,Suicide,
Billy Lee Brammer,1929,1978,48,Author,Methamphetamines,Unknown,
Elisa Bridges,1973,2002,28,Model,Multiple,Unknown,"Heroin, methamphetamines, meperidine and alprazolam"
Diane Brimble,1960,2002,42,Mother,Gamma-Hydroxybutyric acid and alcohol,Unknown,
William Brinkley,1917,1993,76,Writer,Barbiturates,Suicide,
Erik Brødreskift,1969,1999,29,Musician,Unspecified,Suicide,
Dave Brockie,1963,2014,50,Musician,Heroin,Unknown,
Branwell Brontë,1817,1848,31,"Painter, writer",Opiates,Unknown,Died of drug-aggravated tuberculosis
Bobbi Kristina Brown,1993,2015,22,Media personality,Multiple,Unknown,"Drowned while intoxicated by marijuana, alcohol and an unspecified anti-anxiety medication"
Lenny Bruce,1925,1966,40,Comedian,Morphine,Accidental,
Patrick Henry Bruce,1881,1936,55,Painter,Barbital,Suicide,
Julia Bruns,1895,1927,32,Actress,Alcohol,Accidental,
Tim Buckley,1947,1975,28,Musician,Multiple,Unknown,"Heroin, morphine and alcohol"
Paul Butterfield,1942,1987,44,Musician,Unspecified,Unknown,Drug-induced heart failure
Andrés Caicedo,1951,1977,25,Writer,Secobarbital,Suicide,
Ken Caminiti,1963,2004,41,Baseball player,Cocaine and opiates,Accidental,
Max Cantor,1959,1991,32,"Actor, journalist",Heroin,Unknown,
Truman Capote,1924,1984,59,Writer,Multiple,Unknown,Cause of death was liver disease complicated by phlebitis and multiple drug intoxication
Edward John Carnell,1919,1967,47,Pastor,Barbiturates,Unknown,Suspected overdose
Leslie Carter,1986,2012,25,Singer,Multiple,Unknown,"Olanzapine, cyclobenzaprine and alprazolam"
Greg Centauro,1977,2011,34,Pornographic actor,Unspecified,Unknown,
Spencer Charters,1875,1943,67,Actor,Sleeping pills,Suicide,
Richard Chase,1950,1980,30,Serial killer,Unspecified,Unknown,
Vic Chesnutt,1964,2009,45,Musician,Unspecified muscle relaxant,Suicide,
Tai Chi-tao,1891,1949,58,Journalist,Sleeping pills,Suicide (suspected),
Diana Churchill,1909,1963,54,Naval officer,Barbiturates,Suicide,
Sally Clark,1964,2007,42,Solicitor,Alcohol,Unknown,
Sonny Clark,1931,1963,31,Pianist,Heroin,Unknown,
Steve Clark,1960,1991,30,Musician,Multiple,Accidental,"Codeine, diazepam, morphine and alcohol"
Charmian Clift,1923,1969,45,Writer,Unspecified,Suicide,
Bob Collins,1946,2007,61,Politician,Unspecified prescription drugs and alcohol,Suicide,
Natasha Collins,1976,2008,31,Actress,Cocaine,Accidental,
Brian Cole,1942,1972,29,Musician,Heroin,Unknown,
Roberta Collins,1944,2008,63,Actress,Unspecified drugs and alcohol,Accidental,
Elizabeth Cooper,1914,1960,46,Actress,Barbiturates,Suicide,
Michael Cooper,1941,1973,31,Photographer,Heroin,Unknown,
Megan Connolly,1974,2001,27,Actress,Heroin,Unknown,
Pamela Courson,1946,1974,27,Boutique manager,Heroin,Unknown,
Carl Crack,1971,2001,30,Musician,Unspecified pills and alcohol,Unknown,
Ed Crane,1862,1896,34,Baseball player,Chloral hydrate,Suicide (suspected),
Darby Crash,1958,1980,22,Musician,Heroin,Suicide,
Nicholas C. Creede,1843,1897,53–54,Prospector,Morphine,Accidental,
Tim Crews,1961,1993,31,Baseball pitcher,Alcohol,Accidental,"Crews was legally drunk when he crashed a boat, killing himself and Steve Olin"
Stephen Crohn,1946,2013,66,Chef,Benzodiazepine and oxycodone,Suicide,
David Croudip,1958,1988,30,American football player,Cocaine,Unknown,
Robbin Crosby,1959,2002,42,Musician,Heroin,Unknown,
Isaac Cruikshank,1764,1811,46–47,Painter,Alcohol,Unknown,
Bartley Crum,1900,1959,59,Lawyer,Secobarbital and alcohol,Suicide,
Will Cuppy,1884,1949,65,Literary critic,Sleeping pills,Suicide,
Jackie Curtis,1947,1985,38,Actor,Heroin,Unknown,
Patricia Cutts,1926,1974,48,Actress,Barbiturates,Suicide,
Chyna,1969,2016,46,Wrestler,Multiple,Accidental,"Oxymorphone, oxycodone, temazepam, diazepam, and alcohol"
Lin Dai,1934,1964,29,Actress,Sleeping pills,Unknown,
Jacques d'Adelswärd-Fersen,1880,1923,43,Writer,Cocaine and alcohol,Unknown,
Dalida,1933,1987,54,Singer,Barbiturates,Suicide,
Jacques Damala,1855,1889,34,Actor,Cocaine and morphine,Unknown,
Dorothy Dandridge,1922,1965,42,"Actress, singer",Imipramine,Accidental,
Mike Darr,1976,2002,25,Baseball player,Alcohol,Accidental,Motor-vehicle collision while intoxicated
Jesse Ed Davis,1944,1988,43,Musician,Heroin,Unknown,
Elmyr de Hory,1906,1976,70,Art forger,Barbiturates,Suicide (suspected),
Ed Delahanty,1867,1903,35,Baseball player,Unspecified,Unknown,Delahanty was intoxicated when he drowned in Niagara Falls.
Anestis Delias,1912,1944,31–32,Musician,Heroin,Unknown,
Paul DeMayo,1967,2005,37,Bodybuilder,Heroin,Unknown,
Ted Demme,1963,2002,38,Director,Cocaine,Accidental,Suspected drug-induced heart attack
René-Thierry Magon de la Villehuchet,1943,2008,65,Businessman,Sleeping pills,Suicide,
Edwin Denby,1903,1983,80,Poet,Sleeping pills,Unknown,
Patterson Dial,1902,1945,42,"Writer, actress",Barbiturates,Unknown,
Philip Dimmitt,1801,1841,39–40,Texian Army officer,Morphine,Suicide,
DJ Screw,1971,2000,29,Disc jockey,Unspecified,Accidental,
Desmond Donnelly,1920,1974,53,Politician,Barbiturates and alcohol,Suicide,
Michael Dorris,1945,1997,52,Writer,Unspecified drugs and alcohol,Suicide,
Tommy Dorsey,1905,1956,51,Musician,Sleeping pills,Accidental,Choked to death while intoxicated
Eric Douglas,1958,2004,46,Comedian,Multiple,Unknown,"Unspecified tranquilizers, painkillers and alcohol"
Nick Drake,1948,1974,26,Musician,Antidepressants,Suicide (suspected),
Jonathan Drummond-Webb,1959,2004,45,Pediatric heart surgeon,Unspecified prescription drugs,Suicide,
Kevin DuBrow,1955,2007,52,Singer,Cocaine,Accidental,
Bobby Duncum Jr.,1965,2000,34,Wrestler,Unspecified painkillers and alcohol,Unknown,
Kenne Duncan,1903,1972,68,Actor,Barbiturates,Suicide,
Theresa Duncan,1966,2007,40,Video game designer,Paracetamol and alcohol,Suicide,
Ryan Dunn,1977,2011,34,"Actor, stunt man",Alcohol,Accidental,Motor-vehicle collision while intoxicated
Anthony Durante,1967,2003,36,Wrestler,Fentanyl,Unknown,
Guru Dutt,1925,1964,39,Actor,Sleeping pills and alcohol,Unknown,
Jeanne Eagels,1890,1929,39,Actress,Chloral hydrate,Unknown,
Bernie Elsey,1906,1986,79–80,Property developer,Unspecified,Suicide,
John Entwistle,1944,2002,57,Musician,Cocaine,Accidental,Drug-induced heart attack
Brian Epstein,1934,1967,32,Music entrepreneur,Sleeping pills,Accidental,
Howie Epstein,1955,2003,47,Musician,Heroin and unspecified prescription drugs,Unknown,Suspected overdose
Paul Epstein,1871,1939,68,Mathematician,Barbital,Suicide,
Blanca Errázuriz,1894,1940,45,Socialite,Barbiturates,Suicide,
Austin Eubanks,1981,2019,37,Motivational speaker,Heroin,Accidental,
Eyedea,1981,2010,28,Musician,Unspecified,Accidental,
Chris Farley,1964,1997,33,Actor,Cocaine and morphine,Accidental,
Pete Farndon,1952,1983,30,Musician,Heroin,Unknown,Drowned after overdosing
Rainer Werner Fassbinder,1945,1982,37,"Playwright, director",Barbiturates and cocaine,Unknown,
Brenda Fassie,1964,2004,39,Singer,Cocaine,Unknown,
José Fernández,1992,2016,24,Baseball pitcher,Cocaine and alcohol,Accidental,Fernández was under the influence when he died in a boating accident
Lolo Ferrari,1963,2000,37,Pornographic actress,Unspecified,Suicide (suspected),"Officially ruled as ""most likely suicide"", though previously speculated as murder"
Paul Ferris,1941,1995,54,Film composer,Unspecified,Unknown,
Vincent Flemmi,1935,1979,43–44,Gangster,Unspecified,Unknown,
Antonio Flores,1961,1995,33,"Singer, actor",Unspecified,Unknown,
Bernard Floud,1915,1967,52,Politician,Sleeping pills,Unknown,Suspected overdose
Althea Flynt,1953,1987,33,Co-publisher of Hustler,Heroin,Undetermined,Drowned after overdosing; whether her death was intentional or not was unclear
Steve Foley,1959,2008,49,Musician,Unspecified,Accidental,Suspected overdose
Seán Fortune,1954,1999,44–45,Priest,Unspecified drugs and alcohol,Suicide,
Sidney Fox,1911,1942,30,Actress,Sleeping pills,Suicide (suspected),
Henry Stephen Fox,1791,1846,55,Diplomat,Unspecified,Unknown,
J. Herbert Frank,1885,1926,40,Actor,Chloroform,Suicide,Frank used a combination of chloroform and natural gas.
Rosemarie Frankland,1943,2000,57,Actress,Unspecified prescription drugs,Suicide,
Katy French,1983,2007,24,"Model, socialite",Cocaine and ephedrine,Accidental,Official cause of death was hypoxic ischemic brain injury caused by cocaine and ephedrine
Gary Frisch,1969,2007,38,Website founder,Ketamine,Misadventure,Frisch jumped from a balcony while intoxicated
Danny Gans,1956,2009,52,"Impressionist, entertainer",Hydromorphone,Accidental,Gans was killed by a combination of the prescription drug and a pre-existing heart condition
Paul Gardiner,1958,1984,25,Musician,Heroin,Unknown,
Judy Garland,1922,1969,47,"Singer, actress",Secobarbital,Accidental,Officially accidental though speculated suicide
Paul Gauguin,1848,1903,54,Painter,Morphine,Unknown,
Gidget Gein,1969,2008,39,Musician,Unspecified,Unknown,Suspected overdose
Peaches Geldof,1989,2014,25,Actress,Heroin,Unknown,
Martha Gellhorn,1908,1998,89,Writer,Cyanide poisoning,Suicide,
Lowell George,1945,1979,34,Musician,Unspecified,Accidental,
Talitha Getty,1940,1971,30,Actress,Heroin,Unknown,
Harold Gimblett,1914,1978,63,Cricketer,Unspecified,Unknown,
Michèle Girardon,1938,1975,36,Actress,Sleeping pills,Suicide,
Billy Glide,1970,2014,43,Pornographic actor,Unspecified,Unknown,
Trevor Goddard,1962,2003,40,Actor,Multiple,Accidental,"Heroin, cocaine, diazepam and hydrocodone/paracetamol"
Denis Goodwin,1929,1975,45,Writer,Sleeping pills and alcohol,Unknown,
Greg Giraldo,1965,2010,44,Comedian,Unspecified prescription drugs,Accidental,
Dwayne Goettel,1964,1995,31,Musician,Heroin,Unknown,
Adam Goldstein,1973,2009,36,Disc jockey,Multiple,Accidental,"Cocaine, levamisole, oxycodone, hydrocodone, lorazepam, clonazepam, alprazolam and diphenhydramine"
Paul Gray,1972,2010,38,Musician,Fentanyl and morphine,Accidental,
Lucy Grealy,1963,2002,39,Poet,Heroin,Unknown,
William Lindsay Gresham,1909,1962,53,Author,Sleeping pills,Suicide,
Gribouille,1941,1968,26,Singer,Unspecified medication and alcohol,Unknown,
Eddie Griffin,1982,2007,25,Basketball player,Alcohol,Accidental,Motor-vehicle collision while intoxicated
Emmett Grogan,1942,1978,35,Activist,Heroin,Unknown,
Gustaf Gründgens,1899,1963,63,Actor,Sleeping pills,Suicide (suspected),
Clinton Haines,1976,1997,21,Computer hacker,Heroin,Accidental,
Kenneth Halliwell,1926,1967,41,Actor,Pentobarbital,Suicide,
Ollie Halsall,1949,1992,43,Musician,Unspecified,Unknown,
Lois Hamilton,1952,1999,47,"Model, actress",Unspecified,Unknown,
Marthe Hanau,1890,1935,44–45,Fraudster,Sleeping pills,Unknown,
Tony Hancock,1924,1968,44,Actor,Amphetamines and alcohol,Suicide,
Edward A. Hannegan,1807,1857,51,Senator,Morphine,Unknown,
Tommy Hanson,1986,2015,29,Baseball pitcher,Cocaine and alcohol,Accidental,
Malcolm Hardee,1950,2005,55,Comedian,Alcohol,Accidental,Drowned after he fell into the water while intoxicated
James Harden-Hickey,1854,1898,43,"Author, adventurer",Morphine,Suicide,
Tim Hardin,1941,1980,39,Musician,Heroin,Unknown,
Eric Harroun,1982,2014,31,Free Syrian Army fighter,Heroin and sertraline,Accidental,
Domino Harvey,1969,2005,35,Bounty hunter,Fentanyl,Unknown,
Rodney Harvey,1967,1998,30,"Actor, model",Heroin,Unknown,
Walter Hasenclever,1890,1940,49,"Poet, playwright",Barbital,Suicide,
Imogen Hassall,1942,1980,38,Actress,Tuinal,Unknown,
Bobby Hatfield,1940,2003,63,Musician,Cocaine,Unknown,Drug-induced heart attack
James Hatfield,1958,2001,43,Author,Unspecified prescription pills,Suicide,
Felix Hausdorff,1868,1942,73,Mathematician,Barbital,Suicide,
Phyllis Haver,1899,1960,61,Actress,Barbiturates,Suicide (suspected),
James Hayden,1953,1983,29,Actor,Heroin,Unknown,Suspected overdose
Ira Hayes,1923,1955,32,United States Marine,Alcohol,Accidental,Hayes was killed by a combination of exposure and intoxication
Rory Hayes,1949,1983,34,Cartoonist,Multiple,Unknown,Died from polypharmacy of unspecified drugs
Paul Hayward,1954,1992,37–38,Rugby league player,Heroin,Unknown,
Mitch Hedberg,1968,2005,37,Comedian,Cocaine and heroin,Unknown,
Thomas Heggen,1918,1949,30,Writer,Barbiturates,Suicide (suspected),
Tim Hemensley,1972,2003,30–31,Musician,Heroin,Unknown,
Margaux Hemingway,1954,1996,42,Actress,Phenobarbital,Suicide,
Jimi Hendrix,1942,1970,27,Musician,Barbiturates,Accidental,Hendrix aspirated his own vomit and died of asphyxia while intoxicated
Curt Hennig,1958,2003,44,Wrestler,Cocaine,Unknown,
Gregory Herbert,1947,1978,30,Musician,Heroin,Suicide,
James Leo Herlihy,1927,1993,66,"Novelist, actor",Sleeping pills,Suicide,
Gino Hernandez,1957,1986,28,Wrestler,Unspecified,Unknown,
George Hickenlooper,1963,2010,47,Documentary filmmaker,Oxymorphone and alcohol,Accidental,
Ureli Corelli Hill,1802,1875,72–73,Conductor,Morphine,Suicide,
Virginia Hill,1916,1966,49,Courier,Sleeping pills,Unknown,
Ashihei Hino,1907,1960,49,"Soldier, author",Sleeping pills,Suicide,
Bob Hite,1943,1981,38,Singer,Heroin,Unknown,
Roger Hobbs,1988,2016,28,Writer,Unspecified,Unknown,
Jane Aiken Hodge,1917,2009,91,Writer,Unspecified,Suicide,
Abbie Hoffman,1936,1989,52,Activist,Phenobarbital,Suicide,
Philip Seymour Hoffman,1967,2014,46,Actor,Multiple,Accidental,"Heroin, cocaine, benzodiazepines and amphetamines"
William Holden,1918,1981,63,Actor,Alcohol,Accidental,Holden fell and bled to death while intoxicated
Michael Holliday,1924,1963,38,Singer,Unspecified,Suicide,
Crash Holly,1971,2003,32,Wrestler,Carisoprodol,Suicide,Suspected overdose
Hollywood Fats,1954,1986,32,Musician,Heroin,Unknown,
Gary Holton,1952,1985,33,"Actor, musician",Heroin,Unknown,
James Honeyman-Scott,1956,1982,25,Musician,Cocaine,Unknown,Drug-induced heart attack
Shannon Hoon,1967,1995,28,Musician,Cocaine,Unknown,
Russell Hopton,1900,1945,45,Actor,Sleeping pills,Unknown,Suspected overdose
Paul Horner,1978,2017,39,Comedian,Prescription drugs,Accidental,Suspected overdose
Sebastian Horsley,1962,2010,47,Artist,Cocaine and heroin,Unknown,
Tim Horton,1930,1974,44,Ice hockey player,Dexamyl and alcohol,Accidental,Motor-vehicle collision while intoxicated
Whitney Houston,1963,2012,48,"Singer, actress",Cocaine,Accidental,"Houston drowned, with heart disease and cocaine listed as contributing factors"
Tim Hovey,1945,1989,44,Child actor,Unspecified,Unknown,
Andrée Howard,1910,1968,57,Ballet dancer,Unspecified,Unknown,Suspected overdose
Dick Howard,1935,1967,32,Athlete,Heroin,Unknown,
Lisa Howard,1930,1965,35,Reporter,Phenobarbital,Suicide,Officially suicide though speculated as murder
Howard Hughes,1905,1976,70,"Aviator, businessman",Codeine,Unknown,Hughes died of liver failure after his physician administered an overdose of codeine
Mark R. Hughes,1956,2000,44,Businessman,Doxepin and alcohol,Accidental,
Gertrude Hullett,1906,1956,49–50,Wife,Sodium barbital,Suicide,"Officially ruled as suicide by an inquest which received criticism; John Bodkin Adams was charged with her murder, though never tried for it"
Harold Hunter,1974,2006,31,"Skateboarder, actor",Cocaine,Unknown,Drug-induced heart attack
Leona Hutton,1892,1949,56,Actress,Codeine,Unknown,
Phyllis Hyman,1949,1995,45,Singer,Pentobarbital and secobarbital,Suicide,
Fanny Imlay,1794,1816,22,Wife,Laudanum,Suicide,
Andy Irons,1978,2010,32,Surfer,Multiple,Unknown,"Died from cardiac arrest, with secondary cause of death as acute mixed drug ingestion of cocaine, methamphetamines, alprazolam and methadone"
Bruce Edwards Ivins,1946,2008,62,Microbiologist,Paracetamol,Suicide,
Barnaby Jack,1977,2013,35,"Hacker, security expert",Multiple,Unknown,"Cocaine, heroin and other unspecified drugs"
Charles R. Jackson,1903,1968,65,Author,Barbiturates,Suicide,
Jennifer Lyn Jackson,1969,2010,40,Playboy Playmate,Heroin,Unknown,Suspected overdose
Michael Jackson,1958,2009,50,Pop singer,Lorazepam and propofol,Involuntary manslaughter,Jackson was killed by an accidental overdose administered by his physician
Peter Jackson,1964,1997,33,Rugby league player,Heroin,Unknown,
Joyce Jameson,1932,1987,54,Actress,Unspecified,Suicide,
Tom Jans,1948,1984,36,Singer,Unspecified,Unknown,Suspected overdose
Dean Johnson,1961,2007,46,Entertainer,Oxycodone,Unknown,
Randy Johnston,1988,2008,20,Model,Unspecified,Accidental,
Ragnhild Jølsen,1875,1908,32,Author,Morphine,Suicide,
Anissa Jones,1958,1976,18,Actress,Methaqualone and alcohol,Accidental,
Chloe Jones,1975,2005,29,Pornographic actress,Unspecified prescription drugs,Accidental,
Janis Joplin,1943,1970,27,Musician,Heroin overdose,Accidental,
Juice WRLD,1998,2019,21,Rapper,Oxycodone and codeine,Accidental,Official cause of death was seizures induced by acute oxycodone and codeine intoxication
Kazuo Kageyama,1927,1965,38,Baseball player,Sleeping pills,Unknown,
Frida Kahlo,1907,1954,47,Artist,Opiates,Suicide (suspected),"Official cause of death was pulmonary embolism, though no autopsy was performed; modern biographers believe that she committed suicide with opiates"
John Kahn,1947,1996,48,Musician,Heroin,Unknown,
Chris Kanyon,1970,2010,40,Wrestler,Unspecified pills,Suicide,
Lisa Robin Kelly,1970,2013,43,Actress,Multiple,Accidental,Combined drug intoxication of unspecified drugs
David A. Kennedy,1955,1984,28,Son of Robert F. Kennedy,Multiple,Unknown,"Cocaine, pethidine and thioridazine"
Beverly Kenney,1932,1960,28,Singer,Secobarbital and alcohol,Suicide,
Bernard Kettlewell,1907,1979,72,"Lepidopterist, medical doctor",Unspecified,Accidental,
David Kelly,1944,2003,59,Weapons expert,Dextropropoxyphene,Suicide,Evidence indicated Kelly consumed 29 dextropropoxyphene pills
Dorothy Kilgallen,1913,1965,52,Journalist,Barbiturates and ethannol,Unknown,
Margot Kidder,1948,2018,69,Actress,Unspecified painkillers and alcohol,Suicide,
